Loop Index,Silhouette(Original),Silhouette(Reference),Removed Feature Index,Removed Feature Name
0,0.14331439222419814,0.016386183937696176,34,Duration_Smoking
1,0.1474689503695899,0.018456995517516794,13,Slicer_IntensityStdDev_In
2,0.15066939761013851,0.018718955512719748,33,ATS_PackYears
3,0.15461095471449166,0.019169119771864779,28,Age_Enroll
4,0.15847140936584739,0.020165622484542716,20,Slicer_IntensityStdDev_Ex
5,0.16212381308122145,0.02038701136329191,2,BMI
6,0.16521955201589661,0.020289243020283322,26,Pi15_SRWA
7,0.16965894564953862,0.020431201673350462,0,Weight_KG
8,0.17401671145837641,0.021415538805805316,27,WallAreaPct_seg
9,0.17814181767570963,0.021456975668246545,48,deltaFEV1
10,0.18288559406843513,0.041997646698524654,49,deltaFVC
11,0.18719293323298281,0.023034093901770341,51,BDR_pct_FVC
12,0.19210323481094208,0.023316728740210617,50,BDR_pct_FEV1
13,0.19737520542481202,0.022908102145546696,3,SGRQ_scoreSymptom
14,0.20258370191254205,0.025110243645029191,4,SGRQ_scoreActive
15,0.20803710793203406,0.025886814836733815,25,Pi10_SRWA
16,0.21397924097345913,0.026870404684323841,31,TLCpp_race_adjusted
17,0.22006419072113298,0.026411628494424706,36,FVCpp_utah
18,0.22633530990268536,0.03437903346008761,5,SGRQ_scoreImpact
19,0.23328963707346362,0.028090575393390129,6,SGRQ_scoreTotal
20,0.24066822137365301,0.026829175197081223,11,Insp_Below856_Slicer
21,0.2475350664089972,0.028927358177649534,23,Slicer_ExpInspMeanAtten_ratio
22,0.25482450531233258,0.030844212233579645,41,FEF2575_utah
23,0.26374345296330443,0.032626349207230142,47,pre_FEF2575
24,0.27409554251919049,0.029625253162941449,12,Slicer_IntensityMean_In
25,0.28231837741338117,0.034178511319653868,32,FRCpp_race_adjusted
26,0.28857413401369558,0.038544490756458473,19,Slicer_IntensityMean_Ex
27,0.29672748324894965,0.037732350895555072,35,FEV1pp_utah
28,0.30245183694571154,0.040132085366144751,46,pre_PEF
29,0.30957760706038367,0.037616632301618602,10,Insp_Below910_Slicer
30,0.31609940322341118,0.047278885399137403,45,pre_FEV1_FVC
31,0.32287340661562913,0.04928759675576147,40,PEF_utah
32,0.3298483467740736,0.061144175124001839,37,FEV1_FVC_utah
33,0.33622871255724546,0.057797512073614637,14,FRC_Slicer
34,0.34322396082945367,0.060708411137890689,18,Exp_Below856_Slicer
35,0.35123815047994728,0.061766915559373428,24,UpperThird_LowerThird_Slicer
36,0.35676884212780013,0.068874390294995882,42,pre_FEV1
37,0.36439783483332439,0.073637329159825016,7,TLC_Slicer
38,0.3758497827054168,0.080141355231364939,15,pctGasTrap_Slicer
39,0.38530824733638641,0.087468652877823821,38,FEV1_utah
40,0.39750860351304607,0.099086855410473892,43,pre_FEV6
41,0.41591929173526498,0.17368382370780874,44,pre_FVC
42,0.45119926073865585,0.13223457479035602,39,FVC_utah
43,0.48024028770830246,0.15498932180710293,1,Height_CM
44,0.50181008951329398,0.1817001532035197,22,pctEmph_LowerThird_Slicer
45,0.5215970947452826,0.21721818153785724,17,Exp_Below910_Slicer
46,0.53592230604943192,0.25892558279992139,16,Exp_Below950_Slicer
47,0.56099588834929393,0.31622025303923662,21,pctEmph_UpperThird_Slicer
48,0.56794414231047408,0.37070701992763244,9,Insp_Below950_Slicer
49,0.59515256719734677,0.59371521627037283,29,TLCpred_race_adjusted
50,0.70266766202801756,0.7001589329442981,30,FRCpred_race_adjusted
""
""
Last Remaining Feature,pctEmph_Slicer
