Loop Index,GAP Value,Added Feature Index,Added Feature Name
0,0.0057578152666571958,21,pctEmph_UpperThird_Slicer
1,0.086453912576473335,4,SGRQ_scoreActive
2,0.1162348526612843,6,SGRQ_scoreTotal
3,0.21457690837850535,8,pctEmph_Slicer
4,0.23572106288753883,5,SGRQ_scoreImpact
5,0.23867314613420801,16,Exp_Below950_Slicer
6,0.33212802571778788,9,Insp_Below950_Slicer
7,0.33140609745391836,22,pctEmph_LowerThird_Slicer
8,0.34233217908792279,17,Exp_Below910_Slicer
9,0.34134730097675481,3,SGRQ_scoreSymptom
10,0.33542876286958317,24,UpperThird_LowerThird_Slicer
11,0.33239499441594711,18,Exp_Below856_Slicer
12,0.30389029630144176,35,FEV1pp_utah
13,0.29637040729703934,45,pre_FEV1_FVC
14,0.28582042442669886,37,FEV1_FVC_utah
15,0.28526534011723748,15,pctGasTrap_Slicer
16,0.26766858058829157,10,Insp_Below910_Slicer
17,0.25483044035844854,19,Slicer_IntensityMean_Ex
18,0.24661832992513052,32,FRCpp_race_adjusted
19,0.23113199424327199,14,FRC_Slicer
20,0.22598588448344023,46,pre_PEF
21,0.21109770709669934,38,FEV1_utah
22,0.20366146594000786,47,pre_FEF2575
23,0.19678916547159786,11,Insp_Below856_Slicer
24,0.19817256022333107,23,Slicer_ExpInspMeanAtten_ratio
25,0.19603316522483816,41,FEF2575_utah
26,0.18541744990281894,42,pre_FEV1
27,0.17701229486421771,51,BDR_pct_FVC
28,0.17387854922072832,12,Slicer_IntensityMean_In
29,0.17615524598386856,13,Slicer_IntensityStdDev_In
30,0.16570721568438923,26,Pi15_SRWA
31,0.16358156397556994,44,pre_FVC
32,0.16010653384287948,25,Pi10_SRWA
33,0.15951957706442044,0,Weight_KG
34,0.15531441609794483,27,WallAreaPct_seg
35,0.15493798261932337,43,pre_FEV6
36,0.15341955312483926,50,BDR_pct_FEV1
37,0.14832195238447138,31,TLCpp_race_adjusted
38,0.14780370358863107,7,TLC_Slicer
39,0.15248271649880954,2,BMI
40,0.14664075066263857,20,Slicer_IntensityStdDev_Ex
41,0.14498325031215853,39,FVC_utah
42,0.14966885319286682,36,FVCpp_utah
43,0.1390172069586802,40,PEF_utah
44,0.13705946161944829,29,TLCpred_race_adjusted
45,0.14067142950223702,1,Height_CM
46,0.13790124902980957,30,FRCpred_race_adjusted
47,0.13997133277281582,48,deltaFEV1
48,0.1343579480330776,49,deltaFVC
49,0.13254738196153978,34,Duration_Smoking
50,0.12859367600328786,28,Age_Enroll
51,0.12295259634161461,33,ATS_PackYears
